surface_form	n_tokens	total_count	doc_count	zipf	replacement	context
paga	1	4	3	1.79		you want to do in the morning before you leave them as kenzo sidebars with paga at some point just to like kind of say like hey you know I hope
paranar	1	4	3	0		as well protected as many as I could in the rostar A you especially the paranar the elves who had lived with humans since the days of Carr and were seen
pollyan's	1	4	3	0		Grancor is 2 000 miles or more away like this is the edge of a Pollyan's world like does he Or no I can see them going either way just to
pyres	1	4	3	1.86		of the not so that the burn but just a little stand watch over the pyres as the flames burned down And then pop star turns to speak and you know
raulgar's	1	4	3	0		gave him Yeah are Where are the Where is the party Wellbe is standing on Raulgar's hand about 30 feet in the sky Seeker resign and Del with are like seated
reactively	1	4	3	1.73		it's not going to imagine the full scenario It's I think and you do it reactively Right You try and do it reactively You try and have one person start and
rizone	1	4	3	0		those red lines that I'm trying to A red line It goes like there So Rizone if you just move to 30 feet Then cast a spell at either seeker or
rizvin	1	4	3	0		it just And stops working or a year I forget If you just wait till rizvin levels up to level 3 more times then you have like 200 years Sorry Sorry
schemat	1	4	3	0		rise Perspective right It's quite useful to click on So like If you go to schemat you can look at all the backlinks from schemat You can see all of the
turn's	1	4	3	1.45		Let's I mean that was my action I can't quite reach the chest So my turn's over How long does this last The vanish 1 min Oh Why doesn't Kenzo keep
ail	1	3	3	2.26		to talk Yah He said It works for he lives next door I have that ail Now please Some are of course your bread or jeeze if you've got it Yeah
aldenar	1	3	3	0		some Been to a homeland for some time Greetings then you are welcome here Your Aldenar does not doubt your desires so come it is It's been a long time since
alph	1	3	3	1.86		ground So he's actually a little bit higher He's looking slightly down Right Huh An Alph strange He is talking in giant Kenzo soulsight to make a insight check with advantage
amberg	1	3	3	1.71		it possible they are friends We just Haven't met There are few friends in the Amberg oil I give you a suspicious look There I did not come from here I
awakes	1	3	3	2.42		question I See hear his story yeah I will I will ask him when he awakes if he feels strong enough to tell it We are staying at carolyn's you can
bahara	1	3	3	0		It was a mistake to give it to him Take it to your safe little Bahara virus out place and destroy it Please thank you kindly Tocra is an armed camp
billowy	1	3	3	1.91		palace a swirling mix of oranges and yellows streaming behind almost like awake as the billowy palace drifts peacefully across the land and images that you know somehow are the prism
bishhma	1	3	3	0		sort of um reach for its key You you almost feel like an echo of Bishhma Hm Like this is this is And if and you look up sort of right
bluer	1	3	3	2.22		at it it looks like some marquee just large and now with horns and slightly bluer skin but it's the same face and the same kind of body form just much
botanically	1	3	3	1.94		used to be attached to a tree or something Like what does it look like botanically It looks like mostly like roots it's like it's like soil that It's like a
bry	1	3	3	2.38		audience are roaming this desert why the The Fish MAS initiates and perhaps even this bry the great hero did something in the desert to the east y del when I
bustles	1	3	3	1.87		spreads across the mass For a moment as the happening shanty continues and the crew bustles around the south hang limb but then suddenly the wind catches in the beginning to
carn	1	3	3	2.16		league with Chartan there are rumors hoved our beliefs He is you haven't scried on Carn awesome but I've never scryed kind of else I could try it That would be
chardonnians	1	3	3	0		many people would have the same name Claudio the I mean is it culturally when Chardonnians generally have more than one name or no maybe although like how much a 4
charta	1	3	3	1.76		know We could fly to Chardin on Vinderchardon How long would that take Flying to Charta on Vindrasharna would take where you are Now let's see Excuse me something like I
chatite	1	3	3	0		crown does get destroyed somehow For example that's actually useful information to go disrupt the Chatite trade in person But why do that when you have a magic item that just
chicoons	1	3	3	0		more But she was also captain of Agata So like what does that mean Meta-game Chicoons aunts and uncles are the Denmark gods the 5 siblings Okay Devali And yeah I
chima	1	3	3	2.02		not realize it for a decade Where they did They fight with the elves against Chima or were they neutral or did they side with him They fought and Those that
clairvoy	1	3	3	0		the palace life This is where grosch This is where you saw grosch when you clairvoy him you know 7 months ago This is more than that like 9 10 months
clairvoyancing	1	3	3	0		They can't be maintaining a 10 min Press Bill constantly right Right Could they be clairvoyancing or scrying us Well it could Believe Ragemdro is a Polyon is crying you constantly
communed	1	3	3	1.68		time as you're talking about lizard book stuff And it's like Hey like I've actually communed with some plants that are really fucking amazing and healing and removing curses And oh
conk	1	3	3	1.89		again and then press it again and we'll just fall if you feed and then conk or we could just featherfall Does that affect the boat though No if we timed
d10	1	3	3	1.91		do a third staff attack Okay how much damage have you done so far Ii d10 shit 27 my 27 this is and then I'll do 2 on arm strikes Can
damaris	1	3	3	1.93		the demon before its death last In the outdoor courtyard the dead Knowles and the Damaris beer and vial of accurate hissing liquid on the leader The barracks and outbuildings a
darpa's	1	3	3	1.76		that then drain core right by effect Oh yeah yeah I like drain course North darpa's last trick Rousseff me sorry charlton's North darvas last drain course South and The play
dars	1	3	3	1.77		and be in league with at a summer and and can we even trust Hav Dars is chartered even in league with the summarize You know what I've got to remember
dawdling	1	3	3	1.99		just hiding out it's sort of a normal pace yeah not pushing but not like dawdling particularly or A pace pace TIM I have a dream mirror in my backpack what's
deepness	1	3	3	1.85		that there's some depth that there's something else that leads away from them like some deepness that extends like many many echoes But it's not being held back Tim Um how
dele	1	3	3	2.5		effort into into leaving a few things Yeah for everybody When you step out and dele it stands up to greet you at first you're almost like Wait Who is that
devine's	1	3	3	1.57		set of that sort of dominant religion outside of of of Dunbar is the eight devine's sometimes called the way or or muscle new manna and there is a God associated
dimensioned	1	3	3	1.98		And then last minute you know move it out in there somehow I can't be dimensioned or it or I don't know that Lubes would go for like my senses Lubes
dming	1	3	3	2.4		I we could I I I mean I'm Now i'm totally awake since I've been dming for 3 h but I did want to end on the early side It's but
doored	1	3	3	1.67		feet No if they if 2 of them honestly even if 4 of them dimension doored onto the ship they got to leave somebody behind And actually no no take it
drankhorian	1	3	3	0		actually I mean what do you know of Napoleon Who you know Salad He's a Drankhorian Emperor Okay you say so Never wasn't mine much for history right Painting history at
dulla	1	3	3	0		That's all I wanted to hear Just wanted to hear that Thank I appreciate that dulla Are You have some stories of people who did good with the Crown Yeah Oh
dwarvish	1	3	3	1.4		know an invitation Very good But Welby will look around as A and speaking and dwarvish I guess Sort of update on what's going on in the guise of Here's what's
dwith	1	3	3	0		line of sight so we we can talk to seeker but not deal with So Dwith was just totally in communicat with everybody I mean it is sending him if we
ebbs	1	3	3	2.39		a bit and you'll hear the rain for 10 min and then it sort of ebbs and flows in this way but like even watching it for like half an hour
encases	1	3	3	1.72		see that ability of the clothes It's the earth Thin crust of earth and stone encases you until the start of the next turn Your speed is reduced to 0 and
entrap	1	3	3	2.33		too quickly or something like that This is awesome and a perfectly constructed way to entrap seeker to get him to reveal secrets He he does not know where the edge
errs	1	3	3	2.06		use the mirror and just putting trap like a couple of these like the jackal errs Okay so you're cod takes a deep breath and he begins casting a spell and
farseeing	1	3	3	0		in rag hemdros's horde There's a small silvery jewelry box decorated with a poem about farseeing and drankorian inside there's 5 large This you already identified There's 5 large pearls each
fausta's	1	3	3	0		all of us despite what happened with us and our hopes to try to reveal Fausta's true nature He's only consolidated his power He has charted even more in his grip
faywell	1	3	3	0		about If there's anyone who could be considered an authority on the geology of the Faywell who might provide some insight into the workings of a crystal mountain The geology of
festo's	1	3	3	0		cloud from the ground How how plausible is that Then we can fly right to Festo's Tower Yes mush it I mean if there's no other clouds around it would look
fetid	1	3	3	2.29		Many Smiths and vapors sort of gathered over the The ground Pools of of dark fetid water dead trees And this is you know this is where you've been this sort
fitful	1	3	3	2.21		fact that you are now destroying actual demons seems sometimes hard to believe despite the fitful and restless night filled with unwanted dreams of violence You awake with a renewed sense
fodrek	1	3	3	0		And Riz would talks to her follower and seeker sees what's going on with So Fodrek almond Katherine Yeah yeah sounds like it Good set So you all cast these bells
fola	1	3	3	1.71		What's that prison Forces on the plane captured the Other union the way they captured Fola they could have captured the eyes Yeah That's a great point Yeah they may not
frosh	1	3	3	2.29		Will we be putting more people at risk I think I place the blame on frosh who is the one who sent the shadows not on All the way out All
frostbrand	1	3	3	0		to give up the watches Dagger We are right I think so What about the Frostbrand Greatsword red capturous is hard Wow So I'll take out What's up Let's I think
gato	1	3	3	2.48		not a trick of hers well Well what was the gutter to this person Perhaps gato is the one to put her in there we we've brought we um fun dispatching
giantish	1	3	3	0		years now do we have any idea who that name is I mean it sounds giantish You can make history checks anybody who wants to for Yeah no Nope I'll say
gleams	1	3	3	2.13		courtyard or is it just like quiet There's so um There's a flicker firelight that gleams from the windows and open door of the main key There's not any movement that
gloats	1	3	3	1.85		forehead of a bye The myrrh folk swims and takes and reefs the murk folk gloats over the ways of the elemental sea The echoes of water elemental The Murfo commands
glob	1	3	3	2.48		and changes and alterations but there are murmurs a fire giants Fire giants sorcerers hob glob hobgoblin raiders A demon a flame flame tell us more about this flame demon it's
globs	1	3	3	1.91		sort of oozing limestone is beginning to crawl now like you can see little like globs of it crawling out of some of these patches of mud heading towards the door
goeth	1	3	3	2.23		Just get back into the headspace and say what your character lastly first st So Goeth is really involved in this conversation Right He's like pacing back and forth He's sort
gota	1	3	3	2.26		them Can I hear you right now Okay It's in Yep Was Typhenia always a gota or Was that like like Did you like like Add that later and it's always
gotcha's	1	3	3	0		the sire of this tree and 2 roots reach out and sort of grab a gotcha's body and wash it anchor inside the tree in the crack closes again Awesome That's
heralgar	1	3	3	0		body It's in the storm and that's dangerous for us Well Seeker is talking to Heralgar Welby and I are like wrangling storm panicked and horses and some beacon of axe
hidey	1	3	3	1.89		saw them basically Wait until the heat of the day say noon in our little hidey spot And then make our way along the cliff north and go check out the
hippopotamuses	1	3	3	1.54		shifted and over the course of the afternoon the defenders of Orbez the lizardfolk the hippopotamuses the rangers and archers were eventually able to not without at times heavy casualties but
hufflings	1	3	3	0		frost kept things safe Training missions will probably go across but doors don't settle in hufflings don't really settle in Ersk It is Nobody really knows if if non-humans can even
hurls	1	3	3	2.38		he's he's the wind back the next one like runs up here and then also hurls a javelin that you Good But you only get one reaction so you can't do
innkeepers	1	3	3	1.98		counterintuitive like hassling settling down and they can retire sometime yeah there's definitely like happening innkeepers right I mean yeah that's baffling settling down to like you know Be And then
isengue	1	3	3	0		the sky a few hundred years ago Apparently Is a demigod of sorts What makes Isengue a holy site to that cult I don't know all the details but I that's
jakarta's	1	3	3	1.88		now you see kenzo and seeker like running across from the trees towards the tent jakarta's now I would say 350 feet about God you know he's just overwhelming We need
jen's	1	3	3	2.28		are elemental virgin that same While she said it was the source of his magic jen's being much more powerful than arrow mantels but also plane of air creatures And how
kajsa	1	3	3	1.49		You're never really like a history kid right you you and when you studied with kajsa you are really actually much less interested in drink in In charge And then these
kalima	1	3	3	1.44		she's Babbling She's terrified She appears you gather from like rough translation her name is Kalima and she does not know where she is She doesn't understand where the chasm like
katha	1	3	3	2.22		go back And then you can go back to a different spot Oh that's Nice katha Wednesday Well easier to get onto Carol i'm gonna i'm gonna step outside and take
kathara	1	3	3	0		so first baldrick Guy Although actually wait Hold on Can I cast Maybe talk to Kathara First find out what's really happening and then you can manage Fuldrick You can let
kenkoo	1	3	3	0		have immediately sort of launching into storytelling competition song and dance You get a few kenkoo that fly by to hang out and at least check it out You get Aurelia
kensa	1	3	3	0		to She introduces this man She's with us Kalpa and with a significant glance at Kensa says Done happy Introduce him He's like a brother to me not meaning Kenza meaning
kensel	1	3	3	0		growing on the ground so it's linked fairly open in some sense Actually Yeah um Kensel will just like run up a tree Can I like Just run up and see
kenzah	1	3	3	0		also 21 wow Well how These are incredible initiatives Okay are you swapping What did Kenzah roll 28 What 28 28 Yes How is that possible He has a plus 10
keso	1	3	3	0		it's now seeking to expunge eliminate his enemies I believe that's happening now Others like Keso that may question him are being eliminated What do you think his ambitions might be
kinesis	1	3	3	1.89		rounds left Okay 24 seconds left 24 seconds left I mean Wait Can you tell Kinesis multiple objects You can't telekinesis all the scrolls altogether right Time is wasting What are
lubos	1	3	3	1.27		Gosh Hero and warrior traveling in these lands recovered What was ours any gestures at Lubos and the cloak until we How did it return to us We could not build
malar	1	3	3	2.07		Okay So Kansas's old mentor fleeing north somewhere where he has friends to an in malar Give you a call The running south heading across the Sea of storms for the
malken	1	3	3	0		She talks about she seems to be terrified of somebody she refers to as only Malken who is a child she says of or it's unclear if it's a child or
mapmaker	1	3	3	1.79		this land that I think ties me to it will be the green see A mapmaker the searcher after hidden things And I am seeker of high keep The power of
melendar	1	3	3	0		asking her being introduced to students She's another student at the University A letter from Melendar dated December twentieth saying he's sorry you have to leave on short notice and I
misremembering	1	3	3	1.57		us But Almost masters also said the orcs had been fighting each other right my misremembering let him know they said that yeah that's right that A new clan perhaps attacking
mistyped	1	3	3	1.79		tattoos or something like that Like as we talk about here is why yeah definitely mistyped branding um So as he leads you into the temple He takes you through into
murfo	1	3	3	0		folk gloats over the ways of the elemental sea The echoes of water elemental The Murfo commands the jade resists but is overwhelmed The Murf folk is a myrfok at peace
oases	1	3	3	2.36		to keep If anyone shows up keep them from interfering And I'm just less trustworthy oases after a recent experience Fear Ah So you you start to meditate you start to
orc's	1	3	3	1.2		this thing we just is this crazy scheme we just cooked up to infiltrate the Orc's hideout A good idea or a bad idea it's not like Is this geopolitical thing
orcish	1	3	3	1.46		car Chief Lubash will speak with you and she gestures and said something and in orcish to one of the soldiers She says you may not enter the city armed My
our's	1	3	3	1.63		begin to go bigger shaping into an explosion of color frozen in time I was our's voice although now you're not sure it's his voice Maybe it's something else begins to
pandemon	1	3	3	0		I what if we the the what if instead of trying to get the scroll pandemon in back I asked the gods Oh actual thoughts and actual prayers Chris it's like
passwal	1	3	3	0		30 feet and emerge anywhere you want again once per day and you can cast passwal once per day Hi Nathaniel And I think that is everything None of these are
pecks	1	3	3	2.28		then swipe it one of the creatures which then ducks out of the way and pecks it on the claw and it turns to stone again All right Okay who of
penzos	1	3	3	0		at least a wellbe The oh you're you're you're muted Schwartz I think also that Penzos telepathic play by has a lot of color commentary just like Oh my God I
petrify	1	3	3	1.67		out of his sight He has been said he's used its power against others to petrify his enemies turn them to stone You believe the current the stone that the sword
plazas	1	3	3	2.48		in terms of land area but toker is filled with these monumental buildings and big plazas and Empty ness whereas darvas dealt with like slums and tenements and you know lots
polymorphing	1	3	3	0		to modify a certain aspects and so effectively unlimited If you're willing to risk randomly polymorphing somebody into something else that would be hilarious I should definitely try that the range
polyn	1	3	3	0		get the cloak A Polyon stole the cloak That was the first moment that a Polyn turned again or Shamat turned against the Poly That's what you saw in the mirror
prisma	1	3	3	2.37		a bit and no doubt with cooking smells good like you've got using your fancy Prisma bonus Yeah And yes and I'm also making very Dunmari meal like Denmark classics here
ram's	1	3	3	2.35		of a glint from a like a Horn made out of out of like a ram's horn but with a silver sword is filigree design on it and the glint of
rascar	1	3	3	0		See invisibility Second perception from the links Yeah if if If the links can give Rascar it's sight Well no Blinks is not that powerful Hmm But as you approach you
razwyn	1	3	3	0		your Within 5 within So Kenzo Kenzo some lacrum dealt with real dealt with and Razwyn artist Okay Can you Okay If you move the ladder back a square we can
rerolling	1	3	3	1.34		and roll No I rolled a 1 heroic heroic inspiration heroic the heroic thing I'm rerolling I heroically reroll 18 18 total Yes It doesn't matter either One is fine So
resend	1	3	3	2.14		us Okay so Did you see the message I just sent you need me to resend that Oh yes I do Okay So as well While he has been um you
resmond	1	3	3	0		super well guarded You dispelled all the guards The whole space is still hollow Yeah Resmond didn't dispel Dispel it Well yes but it now can be detected by divination Magic
reswin	1	3	3	0		one i'm sorry the second one um fires at ah the so at eighteen at Reswin and a three seven at rizman that misses and then at the other warrior one
reswyn's	1	3	3	0		damage Edit it Okay I just that deal that ends Yeah That ends their turn Reswyn's up Okay I move shit sorry Use my arrow thing to move myself Yes that
risbane	1	3	3	0		very big problem finding the phylactery after he was gone right If I mean if Risbane spent all of your spell slots you could cast a spell like 8 times right
risma	1	3	3	0		we think we will do That's what I'm saying because So so the the pro risma argument which I like overall I think in general even against a polyon Oh what's
rismin	1	3	3	0		led a sortie aided by a David messenger of the bars out called forth by rismin and burned a dozen catapults It'll take time for grass to rebuild and for now
rizmond's	1	3	3	0		save it only takes What is that 13 points again and surely and that ends Rizmond's turn as well be takes AIM But the Shadow Hunter right who is in melee
rizzling	1	3	3	0		everybody you know what While we're doing this Why not Kenzo the mighty something and rizzling the only good one and well be their white You know what the hell like
rizzwin	1	3	3	0		a chair riz when set rizwin and he looks over it Raf us for you Rizzwin Ah yeah thanks very much That's quite quite kind of you The best seat in
robby's	1	3	3	1.6		get the dragon alright Opportunity attack Let's look at advantage Yup until the beginning of Robby's turn Critical hit I fucking cricket voice Amazing 15 damage though Okay try guys looking
rosenwin	1	3	3	0		home of the dwarven gods In this underground cave through the Diamond Hmm And as Rosenwin continues this prayer and reaches out and touches well-be the diamond shatters into dust that
saara	1	3	3	1.79		to up you've not already since you've not heard but You should be aware that Saara has emerged and is in Kerala right now as we speak Her faith kind of
sabara	1	3	3	1.07		the snow and winter that has already come to the passes closing the roads to Sabara until spring and whispers of the relief of a woman fleeing north leaving tracks in
settlement's	1	3	3	1.71		wants to get like the stories of this place and like the Heartroot and what settlement's been like here Like he he was moving quick when he passed through He wants
sira	1	3	3	2.24		were gonna come back for us We kept wanting the humans to like we wanted Sira to like protect their yeah which turned out probably not to be the case I
spellbox	1	3	3	0		even exists But he was convinced About a month ago I was downstairs studying my spellbox He was upstairs in his workshop and my hand reached out of the silver water
spellcast	1	3	3	0		it on the Sky Ship We do use it supplies although although I can warwock spellcast create water So like right That's true Is that essentially effortless I mean it's like
stoneship	1	3	3	0		and so forth I also very nearly steered us against everyone's wishes in our flying stoneship and very high straight up into this guy and I wonder if that thing was
sundar	1	3	3	2.29		i'd be very curious to hear that story I explained to I explained to the sundar what I what I experienced not unlike excruciating excruciating detail but you know kind of
talukdar	1	3	3	1.32		sense Ooh what if there are like weird places in the space time continuum of talukdar were at that are just like That are that are irrespective of time Like you
thuds	1	3	3	1.99		around this thing you yank and you hear a crack and the iron ball Ah thuds into the water and you begin to pull on as way heavier than you thought
tikula	1	3	3	0		in that Okay So we begin at the moment you left the village of the Tikula following Fema and your friends back into the material world aware of the forest around
tog	1	3	3	2.41		while the dream world a nightmare around These places are Our echoes they're Not quite tog are but What once was telkom And many of the earliest children of the divine
withs	1	3	3	1.31		like yeah I just if there were any way that we could immediately Yeah To withs It's more just feeling bad about you know it's like they just shot the Archduke
